# s344 (#231): cause-classification of the 65 PARTIAL files of the 14-dist CPAN board.
# Companion to docs/cpan-board14-survey-s343.md (which did the 53 FAILs).
# Families: A-caller B-textbal(B1-goto,B2-scope,B3-extract) C-slu D-role E-capture F-dump G-trytiny H-single
# PERL-PASS* = perl runs the file clean, but ONLY with the dist's own lib OFF (its XS is unbuilt);
#              the oracle there is the INSTALLED List::Util, older than the 1.70 dist.
# dist	file	family	perl	pcl_ok	pcl_notok	first_not_ok	first_diagnostic
Class-Method-Modifiers-2.15-0	060-caller.t	A-caller	PERL-PARTIAL	4	1	not ok 2 - parent with modifiers sees 'main' as caller # TODO caller magic not implemented yet	
Sub-Uplevel-0.2800-0	02_uplevel.t	A-caller	PERL-PASS	9	14	not ok 5 - die() not screwed up	# got: 'Died at /home/bernt/.cpan/build/Sub-Uplevel-0.2800-0/t/02_uplevel.t line 15. ' # expected: 'Died at sbcl line 13. '
Sub-Uplevel-0.2800-0	03_nested_uplevels.t	A-caller	PERL-PASS	1	103	not ok 2 - Case: Call, Call, Call, Call, Wrap(Call)	# got: 'main, Call, Call, Call, Call, Wrap, Sub::Uplevel' # expected: 'main, Call, Call, Call, Call' # Real callers: main, Call, Call, Call, Call, Wra
Sub-Uplevel-0.2800-0	04_honor_later_override.t	A-caller	PERL-PASS	5	2	not ok 6 - caller from subroutine calls custom routine	# got: 'main' # expected: 'niam'
Sub-Uplevel-0.2800-0	05_honor_prior_override.t	A-caller	PERL-PASS	6	4	not ok 6 - custom caller() was used	
Sub-Uplevel-0.2800-0	06_db_args.t	A-caller	PERL-PASS	2	1	not ok 3 - wrapper returned args correct	# got: 'ARRAY(0x2)' # expected: 'ARRAY(0x3)'
Sub-Uplevel-0.2800-0	07_uplevel_too_high.t	A-caller	PERL-PASS	3	2	not ok 2 - wrapper returned correct caller	# got: 'Sub::Uplevel' # expected: 'main'
Sub-Uplevel-0.2800-0	09_emptylist.t	A-caller	PERL-PASS	2	1	not ok 2 - caller(N) out of stack returns empty list	# got: '4' # expected: '0'
Text-Balanced-2.07-0	07_exttag.t	B1-goto	PERL-PASS	18	86	not ok 1 - no error	# got: 'Execution of a form compiled with errors. Form: (go :failed) Compile-time error:
Text-Balanced-2.07-0	09_gentag.t	B1-goto	PERL-PASS	12	69	not ok 1 - no error	# got: 'The variable @warnings is unbound. at (eval 0) line 0. ' # expected: ''
Text-Balanced-2.07-0	03_extcbk.t	B2-scope	PERL-PASS	90	11	not ok 5 - no error	# got: 'The variable |Text::Balanced|::$mods is unbound. at (eval 1) line 1. ' # expected: ''
Text-Balanced-2.07-0	02_extbrk.t	B3-extract	PERL-PASS	12	6	not ok 11 - <a q{uoted} ">" unbalanced right bracket of /(q>)/ either sort (`>>>""">>>>`) is okay >; matched l	# got: ' ' # expected: ';'
Text-Balanced-2.07-0	05_extmul.t	B3-extract	PERL-PASS	59	27	not ok 1	# got: 'ARRAY(0x53)' # expected: 'ARRAY(0x54)' # got: # ARRAY(0x53)
Text-Balanced-2.07-0	06_extqlk.t	B3-extract	PERL-PASS	137	99	not ok 73 - <<EOHERE;\nEOHERE\n; matched list	# got: '<' # expected: ';'
Text-Balanced-2.07-0	08_extvar.t	B3-extract	PERL-PASS	363	2	not ok 362 - ========$a; matched list	# got: '=' # expected: ';'
Scalar-List-Utils-1.70-0	dualvar.t	C-slu	PERL-PASS*	10	6	not ok 1 - Is a dualvar	
Scalar-List-Utils-1.70-0	first.t	C-slu	PERL-PASS*	18	6	not ok 12 - undef active sub	# got: '' # expected to match: ^Can't undef active subroutine
Scalar-List-Utils-1.70-0	getmagic-once.t	C-slu	PERL-PASS*	2	4	not ok 1	
Scalar-List-Utils-1.70-0	head-tail.t	C-slu	PERL-PASS*	36	6	not ok 13	# got: '999' # expected: '3'
Scalar-List-Utils-1.70-0	isvstring.t	C-slu	PERL-PASS*	2	1	not ok 2 - isvstring	
Scalar-List-Utils-1.70-0	lln.t	C-slu	PERL-PASS*	15	4	not ok 8 - Inf	# got: '' # expected: '1'
Scalar-List-Utils-1.70-0	openhan.t	C-slu	PERL-PASS*	13	3	not ok 2 - STDERR	# got: '*MAIN::stderr' # expected: 'GLOB(0x1)'
Scalar-List-Utils-1.70-0	pair.t	C-slu	PERL-PASS*	12	7	not ok 2 - pairgrep scalar	# got: '4' # expected: '2'
Scalar-List-Utils-1.70-0	product.t	C-slu	PERL-PASS*	11	1	not ok 1 - no args	# got: undef # expected: '1'
Scalar-List-Utils-1.70-0	prototype.t	C-slu	PERL-PASS*	9	4	not ok 8 - @ prototype	# got: undef # expected: '@'
Scalar-List-Utils-1.70-0	readonly.t	C-slu	PERL-PASS*	7	4	not ok 1 - number constant	
Scalar-List-Utils-1.70-0	reduce.t	C-slu	PERL-PASS*	21	11	not ok 10 - sub reference	# got: undef # expected: '6'
