# parse-error-drop-census-s399.tsv — every file whose EMITTED CL contains a
# `;; PARSE ERROR:` progn, i.e. a statement the compiler could not lower and
# replaced with nil.  This is the #138 family (the silently deleted statement),
# measured over the whole population for the first time (s399, task #343).
#
# Columns: <rel-path><TAB><drops in the file><TAB><the compiler's own message(s),
# with a count each>.
#
# Population: perl-tests/*.t (111) + perl's t/ default dirs (527, op/cond.t
# excluded as always) + lib/**.pm (21).  Measured with
# tools/drop-census.pl at commit c754abc; 3m36s at 8 jobs.
#
# TOTAL after the edits below: 73 files, 378 drops — 9 perl-tests files (12
# drops), 64 companion files (366), ZERO in lib/.  (At the s399 measurement:
# 72 files, 379 drops.  A count that RISES is not automatically a regression:
# two files that used to die at transpile now emit CL, so their drops became
# countable for the first time — see the s405 edits — and the s408 edit trades
# 4 crash-forms for 4 counted drops.  Every rise is argued in its own edit
# note; the runner still FAILS on any rise it has not been told about.)
# The total is the sum of the rows below — recomputed s408, which is how the
# stale "382" this line used to carry was found.
#
# EDITS since the s399 measurement (a drop leaves this file BY EDIT, like a
# fail-baseline row — never by re-blessing the whole census from a run):
#   s402  t/comp/parser.t 10 -> 8: the `add_node` internal error is FIXED
#         (Pl/PExpr.pm's zero-arg-prototype branch called a method PExpr does
#         not have, so it ALWAYS died and the statement was dropped —
#         `sub FILE1 () { 1 }` + `sub dummy { tell FILE1 }`).  Verified by
#         tools/run-perl-suite.pl's DROPS column on that file.  Task #343.
#   s405  t/re/pat.t 11 -> 8 and t/re/pat_re_eval.t 1 -> 0: the two s404 PPI
#         token repairs (#351 `/re/` after a paren-less call lexed as division,
#         #354 `)*name` lexed as a glob) recovered those statements; re-measured
#         directly (`pl2cl FILE | grep -c ';; PARSE ERROR'`).
#   s407  t/re/pat_advanced.t 11 -> 4: the same s404 #351 repair (`1 while /re/g`
#         statements) recovered 7 more; missed in the s405 edit because the runner
#         only complains on an INCREASE.  Re-measured by tools/drop-census.pl at
#         e79f0a6 (73 files / 373 drops).  The 4 left are `1 while /(a+b?)(*SKIP)…/g`
#         (a `?` inside a regex PPI mis-lexes when the pattern carries `(?{…})`).
#   s405  t/op/try.t 0 -> 1, a NEW row: the file could not transpile at all
#         before try/catch existed (#340), so it had no CL to count.  Its one
#         drop is `fscalar = 123;` — the file-level lvalue-sub refusal, which
#         drops LOUDLY by ruling (fable-answers-s400 §6.3), not a try gap.
#   s405  t/op/lexsub.t 0 -> 8, a NEW row for the same reason: #347 narrowed
#         the nested-named-sub capture refusal, and this file (the ONLY one in
#         either population whose emission the fix moved) stopped dying, so it
#         has CL to count for the first time.  Its 8 drops are the `my sub`
#         shapes the term grammar cannot lower — task #337's own territory.
#   s406  t/op/lexsub.t 8 -> 6: two of those drops were `is x, 3, '…'`, where
#         PPI lexed the call to a sub named `x` as the repetition operator
#         (#361, ppi-upstream-bugs.md §19).  With _repair_word_x_call the two
#         statements lower and RUN.  This file is the only one in either
#         population whose emission #361 moves (emission-ab 605 files:
#         604 SAME / 1 DIFF / 0 RCDIFF; corpus-diff identical).
#   s408  t/op/lexsub.t 6 -> 10, an INCREASE, and the only one this census has
#         taken — read the trade before copying it.  #337 renames a lexical sub
#         to a scope-unique name, INCLUDING one named after a keyword (`state
#         sub if () { 44 }` / `my sub if () { 44 }`, which perl allows and this
#         file asserts).  `my $x = if if if` therefore stops being a keyword
#         parse and becomes three juxtaposed zero-arg calls, which the term
#         grammar cannot lower -> 4 announced drops.  What those 4 statements
#         emitted BEFORE was `(p-if (p-if) (p-my-= $x (p-if)))` — a
#         zero-argument p-if whose macroexpansion error IS this file's crash
#         cause ("Form: (p-if) Compile-time error: during macroexp").  So the
#         edit trades 4 crash-forms for 4 counted drops; the file's verdict is
#         unchanged (DIFF 6/8) because `our sub if` at line 71 is NOT renamed
#         (it is a package sub) and its 2 crash-forms come first.  Task #374
#         owns the residue: the term grammar (Option B phase 2) is what lowers
#         `NAME NAME NAME`, and the surviving `(p-if)` pair is a rule-12 case
#         of its own.
#
#   s408b t/op/lexsub.t 10 -> 14, the OTHER half of the same file, and this one
#         is a straight WIN for the file: the two `our sub if` statements were
#         still emitting the zero-argument `(p-if)` above, because `if` is in
#         ExprToCL's %RUNTIME_NAMES and a bareword one lowered to the p-if
#         MACRO.  A statement keyword is never a function (task #374), so the
#         funcall generator refuses it and the statement becomes a counted DROP
#         like its renamed siblings.  With no crash-form left the file stops
#         dying at macroexpansion: op/lexsub.t 6/8 -> 7/10, and its next
#         blocker is a different one (undef-fn:main::pl-F).  Verified emission-
#         identical everywhere else: corpus-diff IDENTICAL 111, emission-ab
#         over perl's own t/ 559 SAME / 1 DIFF (this file).
#   s410  t/op/current_sub.t 4 -> 3: #378 implements `__SUB__` inside an
#         ANONYMOUS sub as a source-level self-reference, so the statement
#         `__SUB__->()` at the head of an expression — the one drop whose cause
#         was "WTF? :-) Expr starts with ->/brace??", the only instance of that
#         cause in either population — now lowers.  The remaining 3 are the
#         `Fell through. Missing case: [` family.  Re-measured directly
#         (`pl2cl FILE | grep -c ';; PARSE ERROR'`) and by the runner's DROPS
#         column, which reported it as `4 -> 3 fixed`.
#   s410b t/op/lexsub.t 14 -> 12: #376 covers the three lexical-sub spellings
#         the rename used to miss, and two of this file's drops were the
#         forward-declaration idiom (`my sub c; sub c {…}`) — with the region
#         open and the fill-in renamed, those statements lower.  The 12 left
#         are the same two families as before: 4 `statement keyword \`if\` used
#         as a function` (#374's half of `my $x = if if if`) and 8 term-grammar
#         declines.  The file's verdict is unchanged (DIFF 7/10) — its next
#         blocker is the INDIRECT-OBJECT call `h F` at line 91, which holds 139
#         of perl's 156 rows: task #381.
# Causes, aggregated over files (re-counted from the rows below, s405):
#   49  Bug. Fell through. Missing case: [        <- the dominant one
#   20  Handle single node of unknown type
#    6  PCL: <a ruled refusal, swallowed into a drop instead of dying>
#    5  Bug. Fell through. Missing case: []
#    2  Bug. Fell through. Missing case: [bless({…}, "PPIreference"), undef]
#    2  Ternary operator: Found '?'
#    2  Got op X, not postfix. But there is nothing after it??
#    1  PCL internal: no form emitter for expression leaf …  <- ADDED s411 (A4): the
#       ONE-dialect emitter DIES where the deleted text emitter printed a broken form
#    0  WTF? :-) Expr starts with ->/brace??  <- FIXED s410 (#378; was 1)
#    0  Can't locate object method "add_node" via package "Pl::PExpr"  <- an
#       internal error, not a decline; FIXED s402 (was 1)
#
# A drop is NOT always harmless: perl-tests/bless.t's single drop is the test
# row `is ref $untied, "main", 'blessing through tied refs' or diag $@;` — an
# assertion that never runs and never appears in any count.
perl-tests/bless.t	1	Bug. Fell through. Missing case: [ x1
perl-tests/bop.t	2	Bug. Fell through. Missing case: [ x2
perl-tests/closure.t	1	Bug. Fell through. Missing case: [ x1
perl-tests/method.t	1	Bug. Fell through. Missing case: [ x1
perl-tests/ref.t	2	Bug. Fell through. Missing case: [ x2
perl-tests/split.t	1	Bug. Fell through. Missing case: [bless({ id => 0, type => "funcall" }, "PPIreference"), undef] x1
perl-tests/postfixderef.t	1	PCL internal: no form emitter for expression leaf PPI::Token::Number:? x1  [ADDED s411 Phase A4 under the s409 census-INCREASE rule: `"$_[$_[2]]"` — a NESTED array subscript inside a dq string loses its inner index (task #390, StringInterpolation → InterpScan consumer 3); the deleted text emitter used to print the empty Number leaf as `(p-aref @_ )` and the program CRASHED at run time (sb-int:simple-program-error) — the form emitter dies and the statement drops, announced]
perl-tests/sprintf2.t	1	Bug. Fell through. Missing case: [ x1
perl-tests/state.t	1	Bug. Fell through. Missing case: [ x1
perl-tests/substr.t	2	PCL: Can't modify non-lvalue subroutine call in assignment x2
t/class/accessor.t	2	Bug. Fell through. Missing case: [ x2
t/class/class.t	5	Bug. Fell through. Missing case: [ x5
t/class/construct.t	2	Bug. Fell through. Missing case: [ x2
t/class/destruct.t	1	Bug. Fell through. Missing case: [ x1
t/class/field.t	2	Bug. Fell through. Missing case: [ x2
t/class/inherit.t	7	Bug. Fell through. Missing case: [ x7
t/class/method.t	6	Bug. Fell through. Missing case: [ x6
t/class/phasers.t	2	Bug. Fell through. Missing case: [ x2
t/class/threads.t	1	Bug. Fell through. Missing case: [ x1
t/class/utf8.t	1	Bug. Fell through. Missing case: [ x1
t/comp/final_line_num.t	1	Handle single node of unknown type. Dump: x1
t/comp/parser.t	8	Bug. Fell through. Missing case: [ x6 | Handle single node of unknown type. Dump: x2
t/comp/proto.t	3	Bug. Fell through. Missing case: [ x3
t/io/fflush.t	1	Handle single node of unknown type. Dump: x1
t/io/open.t	1	Bug. Fell through. Missing case: [] x1
t/mro/basic_utf8.t	1	Bug. Fell through. Missing case: [ x1
t/mro/package_aliases_utf8.t	2	Bug. Fell through. Missing case: [ x2
t/op/alarm.t	1	Handle single node of unknown type. Dump: x1
t/op/bless.t	1	Bug. Fell through. Missing case: [ x1
t/op/bop.t	2	Bug. Fell through. Missing case: [ x2
t/op/closure.t	3	Bug. Fell through. Missing case: [ x2 | Handle single node of unknown type. Dump: x1
t/op/coreamp.t	7	Bug. Fell through. Missing case: [ x3 | PCL: Can't modify non-lvalue subroutine call in assignment x4
t/op/current_sub.t	3	Bug. Fell through. Missing case: [ x3
t/op/defer.t	13	Bug. Fell through. Missing case: [ x13
t/op/die_except.t	2	Bug. Fell through. Missing case: [ x2
t/op/die_unwind.t	4	Bug. Fell through. Missing case: [ x4
t/op/filetest.t	19	Bug. Fell through. Missing case: [ x19
t/op/filetest_stack_ok.t	1	Bug. Fell through. Missing case: [ x1
t/op/filetest_t.t	5	Bug. Fell through. Missing case: [ x5
t/op/fork.t	2	Handle single node of unknown type. Dump: x2
t/op/getpid.t	1	Handle single node of unknown type. Dump: x1
t/op/glob.t	1	Handle single node of unknown type. Dump: x1
t/op/gv.t	6	Bug. Fell through. Missing case: [ x2 | Handle single node of unknown type. Dump: x4
t/op/lex.t	1	Bug. Fell through. Missing case: [ x1
t/op/lexsub.t	12	Bug. Fell through. Missing case: [ x5 | Bug. Fell through. Missing case: [] x1 | Handle single node of unknown type. Dump: x2 | statement keyword `if` used as a function x4
t/op/method.t	1	Bug. Fell through. Missing case: [ x1
t/op/override.t	2	Handle single node of unknown type. Dump: x2
t/op/ref.t	2	Bug. Fell through. Missing case: [ x2
t/op/rt119311.t	1	Bug. Fell through. Missing case: [ x1
t/op/signatures.t	1	PCL: Can't modify non-lvalue subroutine call in assignment x1
t/op/smartmatch.t	4	Bug. Fell through. Missing case: [ x4
t/op/split.t	1	Bug. Fell through. Missing case: [bless({ id => 0, type => "funcall" }, "PPIreference"), undef] x1
t/op/sprintf2.t	19	Bug. Fell through. Missing case: [ x19
t/op/stat.t	3	Bug. Fell through. Missing case: [ x2 | Handle single node of unknown type. Dump: x1
t/op/state.t	1	Bug. Fell through. Missing case: [ x1
t/op/sub_lval.t	35	Bug. Fell through. Missing case: [ x2 | PCL: Can't modify non-lvalue subroutine call in assignment x33
t/op/substr.t	2	PCL: Can't modify non-lvalue subroutine call in assignment x2
t/op/switch.t	112	Bug. Fell through. Missing case: [ x112
t/op/tie_fetch_count.t	5	Bug. Fell through. Missing case: [ x2 | Handle single node of unknown type. Dump: x3
t/op/try.t	1	PCL: Can't modify non-lvalue subroutine call in assignment x1
t/op/universal.t	1	Handle single node of unknown type. Dump: x1
t/op/utf8cache.t	1	Bug. Fell through. Missing case: [] x1
t/op/utftaint.t	1	Bug. Fell through. Missing case: [ x1
t/op/write.t	2	Handle single node of unknown type. Dump: x2
t/re/pat.t	8	Bug. Fell through. Missing case: [] x5 | Handle single node of unknown type. Dump: x2 | Ternary operator: Found '?' but no matching ':' x1
t/re/pat_advanced.t	4	Bug. Fell through. Missing case: [ x1 | Ternary operator: Found '?' but no matching ':' x3
t/re/reg_namedcapture.t	2	Got op '!', not postfix. But there is nothing after it?? x1 | Got op '-', not postfix. But there is nothing after it?? x1
t/re/subst.t	3	Bug. Fell through. Missing case: [] x2 | Handle single node of unknown type. Dump: x1
t/uni/caller.t	2	Bug. Fell through. Missing case: [ x2
t/uni/gv.t	13	Bug. Fell through. Missing case: [ x9 | Handle single node of unknown type. Dump: x4
t/uni/method.t	2	Handle single node of unknown type. Dump: x2
t/uni/readline.t	2	Handle single node of unknown type. Dump: x2
t/uni/stash.t	4	Bug. Fell through. Missing case: [ x4
t/uni/write.t	1	Handle single node of unknown type. Dump: x1
